id,brand,model,wattage_w,price_eur,manufacturer_part_number,skroutz_query,skroutz_url
bequiet_purepower_550,be quiet!,Pure Power 12 550W,550,66.84,,be quiet Pure Power 12 550W,https://www.skroutz.gr/s/57376139/Be-Quiet-Pure-Power-12-550W-Mayro-Trofodotiko-Ypologisti-Full-Wired-80-Plus-Gold.html
seasonic_focus_650,Seasonic,FOCUS GX-650 650W,650,110.0,,Seasonic FOCUS GX-650 650W,
bequiet_purepower_650,be quiet!,Pure Power 12 650W,650,76.07,,be quiet Pure Power 12 650W,https://www.skroutz.gr/s/57376143/Be-Quiet-Pure-Power-12-650W-Mayro-Trofodotiko-Ypologisti-Full-Wired-80-Plus-Gold.html
corsair_rm750e,Corsair,RM750e 750W,750,104.89,,Corsair RM750e ATX 3.1 750W,https://www.skroutz.gr/s/58387818/Corsair-RM750e-ATX12V-3-1-750W-Mayro-Trofodotiko-Ypologisti-Full-Modular.html
bequiet_purepower_12m_750,be quiet!,Pure Power 12 M 750W,750,118.0,,be quiet Pure Power 12 M 750W,https://www.skroutz.gr/s/40582088/Be-Quiet-Pure-Power-12-M-750W-Mayro-Trofodotiko-Ypologisti-Full-Modular-80-Plus-Gold.html
corsair_rm850e,Corsair,RM850e 850W,850,109.89,,Corsair RM850e 850W,https://www.skroutz.gr/s/58387975/Corsair-SF850-850W-Mayro-Trofodotiko-Ypologisti-Full-Modular-Cybenetics-Gold.html
corsair_rm850x,Corsair,RM850x 850W,850,150.0,,Corsair RM850x 850W,
seasonic_focus_gx850,Seasonic,FOCUS GX-850 850W,850,135.0,,Seasonic FOCUS GX-850 850W,
bequiet_purepower_13m_850,be quiet!,Pure Power 13 M 850W,850,116.94,,be quiet Pure Power 13 M 850W,https://www.skroutz.gr/s/61066314/be-quiet-pure-power-13-m-850w-mayro-trofodotiko-ypologisti-full-modular-80-plus-gold.html
corsair_rm1000x,Corsair,RM1000x 1000W,1000,190.0,,Corsair RM1000x 1000W,
bequiet_straightpower_12_1000,be quiet!,Straight Power 12 1000W,1000,197.12,,be quiet Straight Power 12 1000W,https://www.skroutz.gr/s/43579681/Be-Quiet-Straight-Power-12-1000W-Mayro-Trofodotiko-Ypologisti-Full-Modular-80-Plus-Platinum.html
corsair_sf1000,Corsair,SF1000 1000W,1000,230.0,,Corsair SF1000 SFX 1000W,
